,Plant_ID,Soil_Moisture,Ambient_Temperature,Soil_Temperature,Humidity,Light_Intensity,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Chlorophyll_Content,Electrochemical_Signal
Plant_ID,1.0,-0.0343208333688306,-0.02985593406561679,0.023195418742630786,-0.004697264450868985,0.0088302967961393,0.04693927638007641,-0.02016533343443295,-0.011264875438680282,0.016811551881237972,-0.008190973467880674,-0.005155840697678422
Soil_Moisture,-0.0343208333688306,1.0,-0.009344266267730323,-0.026783476996277002,0.05387615973329832,-0.009342961060895633,-0.04350180061594323,-0.024751604900927062,0.019002063029865655,0.03080359108781286,0.03941947585416919,-0.010555558212423957
Ambient_Temperature,-0.02985593406561679,-0.009344266267730323,1.0,0.03738141708451033,0.00392144113136969,-0.025289234511383048,-0.021229209342849328,-0.012222916100100808,-0.0014616828327020373,0.011404533405543309,0.027442424232384275,0.007278450456378939
Soil_Temperature,0.023195418742630786,-0.026783476996277002,0.03738141708451033,1.0,0.022696742083004474,0.00400367378183043,-0.02531472456684792,-0.033009723980305376,-0.039818353740699544,-0.025598580226186742,0.05073954412328533,-0.023506019000408523
Humidity,-0.004697264450868985,0.05387615973329832,0.00392144113136969,0.022696742083004474,1.0,-0.02364841872444053,0.01362680054815281,-0.02266091407041346,-0.0030638415244652988,0.012434868178030314,0.019201860742206287,0.007397532120483136
Light_Intensity,0.0088302967961393,-0.009342961060895633,-0.025289234511383048,0.00400367378183043,-0.02364841872444053,1.0,0.008376756204476728,-0.012745510681510207,-0.040852914406696215,-0.029556908056228154,0.017121705857437077,-0.0030943159205905277
Soil_pH,0.04693927638007641,-0.04350180061594323,-0.021229209342849328,-0.02531472456684792,0.01362680054815281,0.008376756204476728,1.0,-0.006344738966864879,0.023200287796477627,0.011618188597665578,0.0014041315123110591,-0.021790622086617428
Nitrogen_Level,-0.02016533343443295,-0.024751604900927062,-0.012222916100100808,-0.033009723980305376,-0.02266091407041346,-0.012745510681510207,-0.006344738966864879,1.0,0.013319398815486013,0.007933624882375421,-0.0453975891725244,-0.003875049921248865
Phosphorus_Level,-0.011264875438680282,0.019002063029865655,-0.0014616828327020373,-0.039818353740699544,-0.0030638415244652988,-0.040852914406696215,0.023200287796477627,0.013319398815486013,1.0,-0.022126259728008787,0.0013466672649832454,-0.01093468390207824
Potassium_Level,0.016811551881237972,0.03080359108781286,0.011404533405543309,-0.025598580226186742,0.012434868178030314,-0.029556908056228154,0.011618188597665578,0.007933624882375421,-0.022126259728008787,1.0,-0.010862811887147127,-0.01305166388476939
Chlorophyll_Content,-0.008190973467880674,0.03941947585416919,0.027442424232384275,0.05073954412328533,0.019201860742206287,0.017121705857437077,0.0014041315123110591,-0.0453975891725244,0.0013466672649832454,-0.010862811887147127,1.0,0.025483094576163937
Electrochemical_Signal,-0.005155840697678422,-0.010555558212423957,0.007278450456378939,-0.023506019000408523,0.007397532120483136,-0.0030943159205905277,-0.021790622086617428,-0.003875049921248865,-0.01093468390207824,-0.01305166388476939,0.025483094576163937,1.0
